longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,,median_house_value
-117.9,34.07,36,1009,164,466,149,5.8519,255246.01,<1H OCEAN,,249400
-120.48,35.05,24,2314,468,1549,463,2.8203,151857,<1H OCEAN,,152600
-121.17,38.71,15,3084,557,1040,562,2.5183,245760,INLAND,,293300
-117.17,32.73,52,408,143,313,143,1.815,131337,NEAR OCEAN,,116700
-120.67,37.97,9,7450,1475,2233,930,2.6528,130231,INLAND,,133000
-122.31,37.93,36,1526,256,696,263,3.5089,244224,NEAR BAY,,261900
-118.08,33.77,26,2461,562,971,544,2.1944,109715.01,<1H OCEAN,,87500
-117.08,32.74,33,3260,673,1784,666,3.5078,136847,NEAR OCEAN,,126500
-120.65,35.41,15,6725,1111,3139,1029,4.1875,254837,<1H OCEAN,,261600
-118.14,33.9,26,2145,471,1150,429,3.5972,221317,<1H OCEAN,,225800
-122.62,38.25,24,2388,358,1187,362,4.6534,215823,<1H OCEAN,,196500
-121.46,38.58,40,1394,397,689,353,1.7765,101336,INLAND,,109800
-120.97,37.69,14,5514,909,2819,970,3.8598,166846,INLAND,,174400
-118.09,33.84,27,1594,295,1061,320,4.7917,214391,<1H OCEAN,,217700
-118.48,34.31,31,1091,256,892,238,3,175092,<1H OCEAN,,172400
-118.68,34.33,45,121,25,67,27,2.9821,294700.04,<1H OCEAN,,325000
-119.79,36.81,33,1461,261,494,254,4.25,120871,INLAND,,132200
-117.95,34.06,32,2252,415,1370,411,4.6312,184857,<1H OCEAN,,184800
-118.42,34.24,17,2049,548,2243,541,2.525,168174,<1H OCEAN,,163700
-118.36,33.97,19,4651,1281,2917,1121,2.6823,148829,<1H OCEAN,,142500
-119.04,35.32,20,37,11,34,8,1.2,88742,INLAND,,50000
-118.02,34.15,44,2267,426,980,372,3.6,287930,INLAND,,307400
-117.21,33.2,22,3337,518,1288,466,5.04,251185,<1H OCEAN,,253700
-118.39,33.87,19,3303,584,1329,569,7.521,368073.15,<1H OCEAN,,340400
-119.79,36.31,25,4984,1029,2414,961,2.2937,73420,INLAND,,72300
-118.17,34.05,35,1256,294,2990,302,3.1528,130547,<1H OCEAN,,121800
-122.08,37.88,26,2947,,825,626,2.933,129467,NEAR BAY,,85000
-118.22,33.98,36,1514,453,1496,448,2.1044,149750,<1H OCEAN,,148200
-120.72,38.57,8,892,185,427,164,2.6833,122041,INLAND,,118800
-121.66,37.93,19,2055,358,1064,350,4.7426,246780,INLAND,,263100
-118.42,34.01,29,1996,489,960,449,3.6611,366009.07,<1H OCEAN,,344200
-117.78,33.68,19,2500,331,1027,327,6.115,300420,<1H OCEAN,,315600
-118.42,34.32,30,3027,604,1970,590,4.3409,170489,<1H OCEAN,,156000
-117.09,32.66,46,844,147,423,161,3.375,143102,NEAR OCEAN,,136300
-122.28,37.9,52,2318,328,779,312,7.1754,365375.02,NEAR BAY,,362900
-117.65,34.06,41,1171,334,1479,334,2.25,98844,INLAND,,90500
-121.98,37.35,36,1054,193,546,187,4.5625,245870,<1H OCEAN,,240000
-117.27,32.82,42,2820,488,1175,500,4.5083,393799.03,NEAR OCEAN,,405200
-119.19,34.17,35,4276,767,3295,708,4.2583,194004,NEAR OCEAN,,187300
-117.11,32.78,16,2220,512,930,527,3.6528,143180,NEAR OCEAN,,133200
-122.11,38.01,39,1313,306,575,231,3.1711,124986,NEAR BAY,,116100
-118.17,33.91,42,856,167,748,195,3.8,141247,<1H OCEAN,,145800
-118.16,34.71,27,6007,998,2680,882,4.1719,133661,INLAND,,117200
-122.26,37.87,52,1087,371,3337,350,1.4012,215026.06,NEAR BAY,,175000
-117.26,32.98,12,3900,977,1690,892,4.125,240893,NEAR OCEAN,,226900
-117.93,34.04,23,6361,1168,4580,1109,4.9342,196662,<1H OCEAN,,181000
-122.19,37.77,52,2329,445,1144,417,3.5114,155662,NEAR BAY,,151200
-122.06,37.63,12,6711,1374,3388,1289,3.8625,216211,NEAR BAY,,208900
-118.3,33.73,40,2582,606,1304,588,3.5694,278375,NEAR OCEAN,,276400
-118.28,34.05,44,968,384,1805,375,1.4801,207396,<1H OCEAN,,212500
-117.77,33.69,15,500,113,261,116,5.0631,179455.01,<1H OCEAN,,154000
-117.14,32.76,35,1785,493,965,506,2.0792,154954,NEAR OCEAN,,160000
-118.61,34.31,4,1949,458,868,398,5.0151,279200.01,<1H OCEAN,,285200
-118.29,34.01,42,814,223,511,188,2.3942,125595,<1H OCEAN,,123200
-122.36,38.03,32,2159,393,981,369,4.3173,172756,NEAR BAY,,175400
-122.61,38.09,18,6205,821,2311,756,6.9081,367734.03,<1H OCEAN,,368700
-117.22,32.75,34,6001,1111,2654,1072,4.5878,279457,NEAR OCEAN,,291000
-117.88,33.84,25,1781,349,918,378,3.9286,238856,<1H OCEAN,,262700
-117.34,33.71,10,2591,486,1255,425,3.1513,160869,<1H OCEAN,,154300
-122.09,37.65,35,1184,200,572,194,4.7143,200437,NEAR BAY,,193800
-121.93,37.25,21,1354,289,639,273,4.5333,247565,<1H OCEAN,,234200
-121.96,37.74,2,200,20,25,9,15.0001,362274.09,<1H OCEAN,,350000
-117.77,34.08,27,5929,932,2817,828,6.0434,220530,INLAND,,214800
-118.09,34.15,49,1467,259,688,260,4.3452,277572,INLAND,,260100
-119.71,36.88,17,2236,315,992,312,6.9405,195437,INLAND,,165200
-124.21,41.77,17,3461,722,1947,647,2.5795,84772,NEAR OCEAN,,68400
-123.72,41.09,19,1970,431,1166,363,1.8208,55983,<1H OCEAN,,50000
-118.14,34.2,39,2569,426,1282,432,5.0953,239926,INLAND,,207400
-119.05,36.09,9,3297,568,1749,568,4.0217,96837,INLAND,,99200
-118.09,34.15,52,670,141,268,110,3.5568,223167,INLAND,,205000
-118.36,34.16,45,1755,335,822,342,5.1423,335124.03,<1H OCEAN,,322900
-118.57,34.17,31,1950,383,870,357,3.1875,409959.64,<1H OCEAN,,500001
-120.86,37.76,32,964,198,623,201,3.0917,100681,INLAND,,88900
-121.19,39.55,17,1483,284,481,211,1.4896,86137,INLAND,,83300
-118.31,34.06,14,1559,646,1639,567,1.9949,316232,<1H OCEAN,,380000
-117.06,33.09,11,7483,1276,3516,1261,4.0484,223708,<1H OCEAN,,262500
-122.25,37.8,42,4120,1065,1715,1015,2.9345,236890,NEAR BAY,,225000
-116.17,33.66,22,639,203,664,153,1.9306,55289,INLAND,,47500
-117.04,34,25,3750,781,1594,785,2.4167,104953,INLAND,,104900
-119.34,36.62,26,1922,339,1148,332,2.6058,89361,INLAND,,92200
-119.76,36.74,52,2137,448,1194,444,1.3029,65719,INLAND,,69100
-120.43,34.7,26,2353,389,1420,389,3.87,142053,NEAR OCEAN,,125800
-122.49,37.98,34,1256,178,460,174,6.4271,420883.03,NEAR BAY,,451700
-118.24,33.97,37,1212,314,1403,279,2.5536,115087,<1H OCEAN,,117200
-121.63,40.92,23,1922,411,872,350,2.2337,65623,INLAND,,64500
-122.36,37.93,17,1258,254,885,229,3.05,129007,NEAR BAY,,121600
-118.33,33.98,38,3063,796,2153,721,1.8472,144209,<1H OCEAN,,149100
-118.17,34.06,36,871,201,2862,181,2.1845,126605,<1H OCEAN,,123800
-117.35,33.95,28,1650,210,557,211,7.6632,255293.09,INLAND,,204800
-122.07,37.95,39,2199,388,1025,385,4.5893,194178,NEAR BAY,,190000
-121.79,37.33,18,3611,614,2381,642,5.6345,245643,<1H OCEAN,,231000
-121.83,36.61,27,2248,466,1644,453,3.2545,150263,<1H OCEAN,,131200
-122.07,37.86,23,1025,205,263,191,3.12,177574,NEAR BAY,,155000
-122.26,37.52,34,483,131,291,157,3.0833,282169,NEAR OCEAN,,256300
-118.19,34.04,45,963,234,1194,239,2.1806,140536,<1H OCEAN,,134900
-119.81,34.44,14,961,305,662,286,3.2115,197048,NEAR OCEAN,,206300
-118.09,33.96,36,1116,229,719,233,3.425,170628,<1H OCEAN,,163200
-122.08,37.64,30,5267,1253,4065,1113,3.3479,191934,NEAR BAY,,182100
-121.58,39.83,16,4591,904,1904,812,2.2419,92690,INLAND,,93200
-122.79,39.09,20,1798,395,685,331,1.625,74101,INLAND,,66800
-118.2,33.88,40,1699,346,1188,329,4.2083,153557,<1H OCEAN,,147300
-117.95,33.82,35,1068,190,514,174,4.0735,213270,<1H OCEAN,,208700
-122.12,37.29,11,436,70,212,75,8.6196,467518.69,<1H OCEAN,,500001
-117.11,32.68,36,26,14,58,23,1.9107,115305,NEAR OCEAN,,125000
-118.32,34.16,49,1074,170,403,208,6.2547,371275.07,<1H OCEAN,,366700
-117.97,34.08,30,2227,474,1961,481,3.3261,155754,INLAND,,164100
-117.96,34.07,35,2819,529,1508,485,4.6118,193111,<1H OCEAN,,191700
-117.29,33.08,18,3225,515,1463,476,5.7787,334435.07,NEAR OCEAN,,346700
-122.08,37.24,21,427,63,182,70,11.3283,498406.97,<1H OCEAN,,500001
-119.73,36.62,35,2080,365,1026,333,3.5781,94006,INLAND,,92800
-118.55,34.03,35,9075,1858,3646,1724,6.0307,458866.67,<1H OCEAN,,500001
-122.43,37.79,52,3219,969,1152,830,4.2042,493954.92,NEAR BAY,,500001
-121.3,38.13,23,2864,504,1298,499,3.2303,135676,INLAND,,131800
-121.67,39.14,22,2264,390,1056,403,3.6111,115348,INLAND,,112300
-117.24,32.71,32,4164,701,1277,607,6.6661,479404.77,NEAR OCEAN,,500001
-118,33.88,18,2628,720,2276,649,2.735,174525,<1H OCEAN,,170800
-119.48,35.17,36,116,20,39,18,3.125,64486.01,INLAND,,37500
-118.11,34.16,52,2489,437,1101,438,4.2065,305347,INLAND,,320300
-118.08,33.89,33,2131,435,2045,426,4,153986,<1H OCEAN,,145700
-118.32,34,50,3250,693,2300,675,1.95,116777,<1H OCEAN,,112600
-117.11,32.75,18,1943,587,1329,522,1.7696,102141,NEAR OCEAN,,103100
-121.82,39.76,23,6010,1116,2710,1149,3.0068,108231,INLAND,,107300
-122.28,37.89,52,2070,329,722,306,5.4171,310155.02,NEAR BAY,,292000
-118.17,33.78,23,3768,1261,3940,1098,1.9647,176124,NEAR OCEAN,,186200
-119.27,34.27,52,1577,343,836,335,3.5893,229802.02,NEAR OCEAN,,206600
-118.87,35.37,14,2458,433,1352,411,3.5441,85148,INLAND,,87000
-121.28,38.61,23,2547,504,1235,469,2.4722,110524,INLAND,,103300
-118.07,34.1,34,2253,522,1262,511,3.4375,237671,<1H OCEAN,,259800
-118.19,34.22,32,10626,1504,4353,1482,9.8413,498455.98,<1H OCEAN,,500001
-122.38,40.67,10,2281,444,1274,438,2.212,70284,INLAND,,65600
-122.26,37.85,52,2202,434,910,402,3.2031,264575,NEAR BAY,,281500
-121.49,38.49,26,4629,832,2902,816,2.735,82518,INLAND,,74600
-122.05,37.93,15,7803,1603,2957,1546,4.45,205415,NEAR BAY,,184900
-122.06,37.7,37,1893,310,821,315,4.6005,231217.01,NEAR BAY,,231600
-122.02,37.36,21,2471,677,1486,689,3.9038,251909,<1H OCEAN,,243800
-121.92,37.34,35,357,120,377,99,3.0139,204264,<1H OCEAN,,204200
-122.04,37.65,10,8299,1326,3827,1288,6.2579,300899,NEAR BAY,,315500
-116.37,33.72,17,8626,1859,3497,1337,3.312,131557,INLAND,,121300
-123.41,41.6,23,1654,369,669,273,1.965,65199,INLAND,,65400
-121.62,36.69,11,4712,1098,5982,1105,2.5986,136644,<1H OCEAN,,135700
-120.1,39.17,33,1849,384,218,92,1.7083,125190,INLAND,,143800
-117.34,34.12,26,1008,164,568,196,3.3516,106555,INLAND,,105600
-119.26,35.87,24,1590,390,1686,372,1.6469,48693,INLAND,,47600
-117.86,33.99,10,17820,2812,8686,2666,6.3875,310837,<1H OCEAN,,310700
-118.34,34.04,37,1466,529,1835,500,1.7014,131795,<1H OCEAN,,123200
-122.35,37.94,47,1275,275,844,273,2.8967,108579,NEAR BAY,,95600
-118.17,33.83,46,1362,214,531,222,4.3125,290586.01,NEAR OCEAN,,290500
-118.21,33.81,40,1815,428,1807,413,3.0882,168784,NEAR OCEAN,,160700
-120.58,39.27,15,4126,903,723,266,3.0147,123166,INLAND,,118800
-118.47,34.24,19,2405,661,1855,621,2.3111,222382,<1H OCEAN,,255400
-122.29,37.82,2,158,43,94,57,2.5625,103621.02,NEAR BAY,,60000
-122.25,37.49,44,4420,743,1790,735,6.142,399811.06,NEAR OCEAN,,394700
-116.22,33.74,26,4120,858,2918,815,3.3107,81114,INLAND,,69400
-122.48,37.76,52,2684,574,1395,549,3.9097,327978,NEAR BAY,,323800
-119.16,34.23,26,5444,1293,3700,1158,2.7556,209929,NEAR OCEAN,,213200
-122.59,38.04,25,3412,455,1238,406,8.3646,401362.05,NEAR BAY,,397300
-121.98,37.27,29,2658,484,1318,498,5.3561,292444,<1H OCEAN,,298900
-118.41,34.23,35,1026,195,753,185,4.5909,184200,<1H OCEAN,,179200
-117.24,32.74,45,1718,293,757,329,4.05,298562.02,NEAR OCEAN,,284900
-118.3,33.87,31,1398,261,823,263,5.0641,236574,<1H OCEAN,,234900
-122.23,37.76,52,3037,516,1242,518,5.2128,309690.03,NEAR BAY,,289900
-117.84,33.8,34,2004,331,843,328,3.59,226691,<1H OCEAN,,230600
-118.9,34.17,14,4719,734,1880,731,5.3558,309282.01,<1H OCEAN,,313800
-117.13,32.92,16,2173,399,1460,393,4.2614,169968,<1H OCEAN,,169600
-118.35,33.94,38,1794,508,2188,454,2.6654,144325,<1H OCEAN,,142200
-122.4,37.72,40,1948,413,1434,396,3.0313,225229,NEAR BAY,,219100
-118.29,33.74,29,1503,411,1368,390,2.1473,201183,NEAR OCEAN,,195300
-118.35,34.32,52,102,29,54,32,1.9875,202446.01,<1H OCEAN,,191700
-121.08,39.21,17,3033,590,1319,583,2.4811,118276,INLAND,,111800
-118.03,33.94,30,2572,521,1564,501,3.4861,182039,<1H OCEAN,,177200
-117.18,32.74,39,3132,738,1200,690,2.5288,248038,NEAR OCEAN,,274000
-121.43,38.56,50,1533,288,532,257,2.5417,121281,INLAND,,125900
-117.06,32.68,36,3815,796,2945,728,2.0959,124074,NEAR OCEAN,,125000
-122.11,37.71,36,4569,824,1950,819,4.65,222188.01,NEAR BAY,,206800
-116.97,33.74,20,3674,792,1498,758,2.2161,83678,INLAND,,76900
-117.81,33.73,19,4022,975,2334,954,3.0305,164456,<1H OCEAN,,140600
-119.19,34.19,35,2599,552,2726,543,3.2212,180304,NEAR OCEAN,,180500
-116.5,33.95,10,7249,1882,4274,1621,1.6983,77368,INLAND,,66600
-122.35,38.3,18,3735,557,1504,521,5.6304,242018,NEAR BAY,,243100
-122.23,37.76,52,1705,246,658,253,5.75,337442.07,NEAR BAY,,306300
-121.99,38.36,33,146,31,75,31,3.5179,105525,INLAND,,84400
-121.55,38.55,10,6227,1164,2909,1077,4.106,140490,INLAND,,115900
-119.44,36.6,5,2353,608,2505,573,2.2863,73795,INLAND,,69200
-122.55,38.1,26,5188,892,2341,906,5.0029,263590,NEAR BAY,,255600
-117.01,32.72,12,2914,734,2104,703,2.3068,131020,NEAR OCEAN,,132300
-118.49,34.03,31,3155,808,1208,745,3.6769,433078.05,<1H OCEAN,,450000
-118.11,33.82,37,1987,347,1095,357,4.3203,227300,<1H OCEAN,,232800
-122.05,37.95,27,3513,791,1875,694,3.1838,180389,NEAR BAY,,182000
-116.76,33.46,6,1251,268,544,216,3.0694,168741,INLAND,,173400
-117.43,33.81,13,4770,718,1985,662,4.2273,250766,INLAND,,295200
-118.38,34.05,52,2053,480,900,417,3.0707,405477.07,<1H OCEAN,,417900
-121.32,38.74,14,1449,228,670,232,4.3897,174381,INLAND,,186300
-116.96,32.8,25,3421,803,1681,742,3.369,141313,<1H OCEAN,,134400
-117.17,33.66,2,7401,1187,2826,839,4.1386,195098.01,<1H OCEAN,,177300
-122.47,37.7,45,3290,693,2466,666,3.6588,239205,NEAR OCEAN,,238600
-121.07,39.04,9,2374,372,884,333,4.5042,199158,INLAND,,206400
-117.64,34.07,43,1970,379,1036,391,3.2083,130616,INLAND,,122800
-117.36,33.98,46,1680,453,1570,435,2.0436,88788,INLAND,,82300
-119.17,34.29,18,3932,724,1896,680,5.2953,290111.05,NEAR OCEAN,,279400
-119.06,36.15,20,1282,273,852,247,1.6354,50895,INLAND,,49000
-122.23,37.46,26,4670,1039,2103,933,4.4167,341228.07,NEAR OCEAN,,333800
-118.1,34.09,44,2352,484,1517,463,4.2833,238394,<1H OCEAN,,258000
-117.14,32.81,34,1748,294,800,294,4.4886,174827,NEAR OCEAN,,179100
-118.01,34.07,24,5684,1485,6626,1481,2.2559,160481,INLAND,,166800
-118.09,34.08,34,1513,384,986,336,2.6901,216932,<1H OCEAN,,235600
-118.46,34.18,35,1819,465,1336,419,3.4583,240181,<1H OCEAN,,253200
-117.95,33.97,33,1113,145,424,137,8.3474,481807.84,<1H OCEAN,,500001
-118.84,34.21,16,4975,949,2537,971,5.2361,237510,<1H OCEAN,,224700
-122.04,38,16,3077,733,1447,709,3.2484,125755,NEAR BAY,,91100
-122.2,38.04,31,3029,500,1236,487,5.6022,238858,NEAR BAY,,197000
-121.39,38.43,3,2696,384,990,316,5.4445,213938,INLAND,,237600
-119.68,36.81,13,2589,413,1356,435,5.0253,114084,INLAND,,106200
-121.24,37.95,36,361,63,169,62,3.7734,95967,INLAND,,63800
-118.23,33.98,25,986,310,1439,251,2.39,160669,<1H OCEAN,,183300
-119.74,36.71,17,5872,1250,5034,1224,2.1905,68605,INLAND,,61800
-117.7,34.05,24,2834,470,1815,471,4.7357,168928,INLAND,,162500
-122.42,37.66,28,3520,672,1746,602,4.9236,272373,NEAR OCEAN,,273500
-118.13,34.08,34,3848,991,2814,972,2.6716,215826,<1H OCEAN,,227100
-118.04,34.17,52,1885,401,764,373,4.0385,266640,INLAND,,265700
-119.77,36.83,16,2360,355,1034,359,5.0635,112494,INLAND,,108500
-122.07,37.35,35,1579,210,570,196,8.5888,497167.91,<1H OCEAN,,500001
-118.35,34.18,46,2711,491,1277,490,4.282,234676,<1H OCEAN,,224700
-117.15,32.91,10,2349,431,1598,435,4.8229,181827,<1H OCEAN,,183200
-120.33,38.26,13,2962,546,252,103,4.4063,151231,INLAND,,155800
-121.33,37.96,20,1727,386,730,342,2.5195,115497,INLAND,,92600
-118.17,34.04,46,705,167,655,149,3.5938,139356,<1H OCEAN,,141100
-116.99,34.89,24,2741,577,1551,522,3.474,72849,INLAND,,70500
-120.44,38.61,9,2598,548,796,297,3.5192,110547,INLAND,,98000
-121.33,38.03,10,629,140,635,146,2.2961,121684,INLAND,,126700
-118.24,33.98,45,173,42,230,57,3.0724,118610,<1H OCEAN,,110700
-119.71,34.44,41,2220,367,927,355,5.3184,366227.03,<1H OCEAN,,376000
-120.86,35.39,23,1664,355,629,279,2.7344,201086,NEAR OCEAN,,188300
-121.46,38.56,52,907,180,479,177,2.2125,102505,INLAND,,104000
-120.94,37.4,32,1175,208,774,222,3,112222,INLAND,,109400
-118.28,33.98,45,1720,416,1382,365,0.9337,97445,<1H OCEAN,,92300
-118.41,34.16,32,3060,505,1159,510,6.3703,451853.07,<1H OCEAN,,465800
-121.29,38.13,31,1008,212,453,195,2.3917,111227,INLAND,,113500
-117.11,33.19,15,3154,488,1656,429,5.0461,217610,<1H OCEAN,,222400
-120.88,37.53,18,239,39,92,36,5.3168,201209,INLAND,,175000
-118.42,34,31,1930,456,1002,410,3.9798,428096.03,<1H OCEAN,,458600
-123.07,38.46,31,855,217,280,139,2.3611,132663,NEAR OCEAN,,112500
-122,37.39,36,1236,229,880,247,5.791,255443.01,<1H OCEAN,,239400
-120.92,37.63,39,45,8,22,9,1.7679,346819.05,INLAND,,450000
-121.74,38.56,18,3960,1151,2248,1144,1.7257,157358,INLAND,,179100
-120.39,36.78,11,1947,488,2104,486,1.7184,57990,INLAND,,55200
-122.59,38.44,14,1665,390,505,348,3.183,197735,<1H OCEAN,,201200
-122.41,37.74,52,2058,399,1208,399,3.6429,243948,NEAR BAY,,230000
-121.45,38.53,34,1893,415,884,395,2.1679,78844,INLAND,,75400
-118.15,34.13,30,2763,520,1143,465,4.7298,423026.64,<1H OCEAN,,500001
-121.27,38.67,15,2116,524,866,519,2.7388,123266,INLAND,,111600
-120.44,36.84,29,1563,293,883,288,2.8182,89186,INLAND,,90500
-122.73,38.43,15,3265,690,1629,629,3.7132,168941,<1H OCEAN,,167600
-119.12,35.39,13,1264,202,552,187,4.5903,101622,INLAND,,94300
-118.1,33.99,36,1529,290,1271,287,3.6875,171212,<1H OCEAN,,175200
-119.57,36.7,34,1759,354,899,337,2.6823,74153,INLAND,,72900
-117.65,33.59,8,2649,340,1238,354,8.0409,340082,<1H OCEAN,,337900
-119.8,36.75,41,1659,466,1391,447,1.3527,57349,INLAND,,61200
-121.42,38.51,21,3249,666,2611,663,1.9423,91395,INLAND,,87800
-119.56,36.51,9,3860,809,2157,770,2.5033,74145,INLAND,,70100
-122.41,37.79,52,1436,738,1688,662,1.5156,261290.02,NEAR BAY,,237500
-117.86,34.1,29,1185,197,588,196,5.0832,201549,<1H OCEAN,,196900
-118.33,33.97,47,1830,369,922,377,4.1635,162806,<1H OCEAN,,156400
-121.51,38.51,33,2918,439,1085,427,5.5208,184375,INLAND,,171300
-118,33.89,35,1011,183,578,171,3.9861,190865,<1H OCEAN,,188700
-117.82,33.9,25,1137,170,524,164,7.5744,283452.02,<1H OCEAN,,259300
-117.15,32.8,27,1937,537,1211,482,2.75,118967,NEAR OCEAN,,87500
-117.79,33.69,16,1532,240,679,248,5.7115,286028,<1H OCEAN,,313900
-117.09,33.13,9,5685,1442,3773,1250,3.0426,141220,<1H OCEAN,,129900
-122.38,37.71,47,1088,190,558,166,4.2708,233887,NEAR BAY,,207100
-119.84,37.48,17,2582,553,1087,423,2.5,105571,INLAND,,104200
-121.96,37,20,3847,727,1725,737,3.3447,285487,NEAR OCEAN,,305200
-117.92,34.07,29,1699,399,1052,411,3.2122,193150,<1H OCEAN,,195500
-119.95,38.95,21,2046,580,952,353,1.7245,97687,INLAND,,92200
-121.43,38.47,21,1787,291,988,301,4.35,112681,INLAND,,96200
-118.47,33.99,34,1875,501,1491,526,2.8417,326406.01,<1H OCEAN,,321400
-120.19,39.35,7,2611,395,482,159,5.0622,175776,INLAND,,174100
-122.2,37.82,37,1229,181,420,176,7.0175,361111,NEAR BAY,,366700
-118.16,34.11,31,5715,1154,2639,1079,4.1661,345088,<1H OCEAN,,364400
-121.98,37.95,16,2984,406,1317,397,6.7821,279764,INLAND,,265900
-118.88,34.28,22,3369,771,2751,710,4.0474,192460,<1H OCEAN,,182100
-117.88,33.73,36,2471,498,2594,475,3.75,170525,<1H OCEAN,,170500
-122.29,38.3,52,1219,288,847,283,1.6691,164119,NEAR BAY,,183300
-117,34.89,29,2637,512,1188,446,2.99,71619,INLAND,,69400
